id,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
177,8/16/2020,Los Angeles - Reseda,1822,2378,2309,67,87,79,76617
178,8/16/2020,Los Angeles - Reseda Ranch,93,2006,1902,0,0,0,4636
179,8/16/2020,Los Angeles - Reynier Village,30,710,762,0,0,0,4228
180,8/16/2020,Los Angeles - San Pedro,1722,2207,2196,25,32,29,78038
181,8/16/2020,Los Angeles - Shadow Hills,50,1126,1367,0,0,0,4442
182,8/16/2020,Los Angeles - Sherman Oaks,844,967,1030,17,19,17,87254
183,8/16/2020,Los Angeles - Silverlake,552,1252,1264,16,36,32,44083
184,8/16/2020,Los Angeles - South Carthay,96,906,1079,1,9,6,10595
185,8/16/2020,Los Angeles - South Park,1765,4650,4738,24,63,89,37961
186,8/16/2020,Los Angeles - St Elmo Village,124,2705,2905,8,175,264,4584
187,8/16/2020,Los Angeles - Studio City,210,936,1041,10,45,39,22440
188,8/16/2020,Los Angeles - Sun Valley,1264,2408,2338,21,40,42,52483
189,8/16/2020,Los Angeles - Sunland,372,1823,1720,26,127,91,20408
190,8/16/2020,Los Angeles - Sycamore Square,5,773,783,0,0,0,647
191,8/16/2020,Los Angeles - Sylmar,2733,3317,3292,72,87,106,82398
192,8/16/2020,Los Angeles - Tarzana,530,1717,1572,37,120,75,30876
193,8/16/2020,Los Angeles - Temple-Beaudry,1059,2682,2594,24,61,69,39482
194,8/16/2020,Los Angeles - Thai Town,137,1397,1325,0,0,0,9809
195,8/16/2020,Los Angeles - Toluca Lake,86,988,1198,0,0,0,8704
196,8/16/2020,Los Angeles - Toluca Terrace,17,1302,1390,1,77,72,1306
197,8/16/2020,Los Angeles - Toluca Woods,14,754,771,0,0,0,1858
198,8/16/2020,Los Angeles - Tujunga,345,1241,1211,11,40,33,27810
199,8/16/2020,Los Angeles - University Hills,49,1429,1427,1,29,19,3429
200,8/16/2020,Los Angeles - University Park,649,2364,3372,17,62,110,27456
201,8/16/2020,Los Angeles - Valley Glen,498,1659,1613,17,57,58,30016
202,8/16/2020,Los Angeles - Valley Village,438,1772,1718,25,101,85,24720
203,8/16/2020,Los Angeles - Van Nuys,2371,2544,2564,68,73,90,93194
204,8/16/2020,Los Angeles - Venice,247,729,933,2,6,6,33885
205,8/16/2020,Los Angeles - Vermont Knolls,631,3669,3621,13,76,93,17200
206,8/16/2020,Los Angeles - Vermont Square,292,3814,3799,3,39,36,7657
207,8/16/2020,Los Angeles - Vermont Vista,1648,4001,4084,24,58,87,41186
208,8/16/2020,Los Angeles - Vernon Central,2585,4971,5075,32,62,91,51998
209,8/16/2020,Los Angeles - Victoria Park,185,2203,2122,3,36,29,8399
210,8/16/2020,Los Angeles - View Heights,40,1083,1066,2,54,42,3694
211,8/16/2020,Los Angeles - Watts,1604,3759,3967,20,47,84,42674
212,8/16/2020,Los Angeles - Wellington Square,104,2116,2112,0,0,0,4915
213,8/16/2020,Los Angeles - West Adams,758,2743,2688,34,123,127,27630
214,8/16/2020,Los Angeles - West Hills,437,1078,1071,30,74,45,40545
215,8/16/2020,Los Angeles - West Los Angeles,427,1135,1136,13,35,37,37636
216,8/16/2020,Los Angeles - West Vernon,1929,3596,3580,38,71,93,53644
217,8/16/2020,Los Angeles - Westchester,338,655,633,13,25,22,51603
218,8/16/2020,Los Angeles - Westlake,2135,3597,3644,131,221,255,59355
219,8/16/2020,Los Angeles - Westwood,286,529,477,5,9,9,54109
220,8/16/2020,Los Angeles - Wholesale District,2082,5763,4999,23,64,77,36129
221,8/16/2020,Los Angeles - Wilmington,1447,2562,2557,11,19,25,56487
222,8/16/2020,Los Angeles - Wilshire Center,959,1912,1867,31,62,61,50170
223,8/16/2020,Los Angeles - Winnetka,1043,2014,1931,15,29,27,51786
224,8/16/2020,Los Angeles - Woodland Hills,731,1074,1064,23,34,21,68055
225,8/16/2020,Unincorporated - Acton,55,690,778,2,25,18,7971
226,8/16/2020,Unincorporated - Agua Dulce,24,577,631,0,0,0,4158
227,8/16/2020,Unincorporated - Altadena,540,1238,1291,13,30,23,43620
228,8/16/2020,Unincorporated - Anaverde,13,862,1057,0,0,0,1508
229,8/16/2020,Unincorporated - Angeles National Forest,5,402,411,0,0,0,1245
230,8/16/2020,Unincorporated - Arcadia,78,977,992,2,25,18,7981
231,8/16/2020,Unincorporated - Athens Village,197,4023,4065,7,143,144,4897
232,8/16/2020,Unincorporated - Athens-Westmont,1299,3061,3077,23,54,58,42442
233,8/16/2020,Unincorporated - Avocado Heights,230,3395,3363,2,30,34,6775
234,8/16/2020,Unincorporated - Azusa,416,2613,2524,2,13,17,15923
235,8/16/2020,Unincorporated - Bassett,544,3671,3626,9,61,63,14817
236,8/16/2020,Unincorporated - Bouquet Canyon,6,559,800,1,93,82,1073
237,8/16/2020,Unincorporated - Bradbury,4,3704,303,1,926,255,108
238,8/16/2020,Unincorporated - Canyon Country,103,1333,1402,0,0,0,7728
239,8/16/2020,Unincorporated - Castaic,1877,6903,6289,4,15,14,27191
240,8/16/2020,Unincorporated - Cerritos,13,2215,2116,0,0,0,587
241,8/16/2020,Unincorporated - Claremont,17,2422,3063,0,0,0,702
242,8/16/2020,Unincorporated - Covina,363,2158,2086,5,30,28,16819
243,8/16/2020,Unincorporated - Covina (Charter Oak),259,1970,1961,1,8,10,13144
244,8/16/2020,Unincorporated - Del Aire,62,1411,1383,2,46,44,4393
245,8/16/2020,Unincorporated - Del Rey,3,943,1312,0,0,0,318
246,8/16/2020,Unincorporated - Del Sur,8,331,351,1,41,20,2415
247,8/16/2020,Unincorporated - Desert View Highlands,38,1524,1454,1,40,24,2493
248,8/16/2020,Unincorporated - Duarte,106,2394,2360,2,45,52,4428
249,8/16/2020,Unincorporated - East Covina,4,1216,1379,0,0,0,329
250,8/16/2020,Unincorporated - East La Mirada,85,1606,1614,0,0,0,5292
251,8/16/2020,Unincorporated - East Los Angeles,5379,4294,4294,81,65,75,125269
252,8/16/2020,Unincorporated - East Pasadena,60,937,885,1,16,9,6403
253,8/16/2020,Unincorporated - East Rancho Dominguez,558,3645,3604,10,65,75,15308
254,8/16/2020,Unincorporated - East Whittier,67,1263,1261,0,0,0,5306
255,8/16/2020,Unincorporated - El Camino Village,131,1490,1485,3,34,24,8791
256,8/16/2020,Unincorporated - El Monte,6,4138,6162,0,0,0,145
257,8/16/2020,Unincorporated - Elizabeth Lake,6,361,406,0,0,0,1661
258,8/16/2020,Unincorporated - Florence-Firestone,2938,4541,4592,40,62,77,64705
259,8/16/2020,Unincorporated - Glendora,9,1364,1690,0,0,0,660
260,8/16/2020,Unincorporated - Hacienda Heights,846,1513,1499,9,16,11,55926
261,8/16/2020,Unincorporated - Hawthorne,52,2068,1962,0,0,0,2514
262,8/16/2020,Unincorporated - Hi Vista,5,455,528,0,0,0,1098
263,8/16/2020,Unincorporated - Kagel/Lopez Canyons,29,2054,2633,1,71,113,1412
264,8/16/2020,Unincorporated - La Crescenta-Montrose,136,687,698,1,5,3,19801
265,8/16/2020,Unincorporated - La Rambla,75,3614,2911,11,530,348,2075
266,8/16/2020,Unincorporated - La Verne,28,1373,1573,0,0,0,2040
267,8/16/2020,Unincorporated - Ladera Heights,77,1089,1035,3,42,19,7071
268,8/16/2020,Unincorporated - Lake Hughes,2,299,328,0,0,0,668
269,8/16/2020,Unincorporated - Lake Los Angeles,173,1331,1321,2,15,25,12994
270,8/16/2020,Unincorporated - Lake Manor,20,1217,1250,0,0,0,1643
271,8/16/2020,Unincorporated - Lennox,593,2631,2626,4,18,34,22542
272,8/16/2020,Unincorporated - Leona Valley,16,914,979,0,0,0,1751
273,8/16/2020,Unincorporated - Littlerock,64,1592,1664,0,0,0,4021
274,8/16/2020,Unincorporated - Littlerock/Juniper Hills,7,540,766,0,0,0,1297
275,8/16/2020,Unincorporated - Littlerock/Pearblossom,64,1793,1845,0,0,0,3569
276,8/16/2020,Unincorporated - Llano,3,342,355,0,0,0,877
277,8/16/2020,Unincorporated - Marina del Rey,63,669,521,1,11,13,9411
278,8/16/2020,Unincorporated - Monrovia,69,1778,1871,0,0,0,3881
279,8/16/2020,Unincorporated - Newhall,6,2727,2283,0,0,0,220
280,8/16/2020,Unincorporated - North Lancaster,18,1502,1967,0,0,0,1198
281,8/16/2020,Unincorporated - North Whittier,172,2057,2049,9,108,95,8360
282,8/16/2020,Unincorporated - Northeast San Gabriel,289,1202,1240,8,33,29,24036
283,8/16/2020,Unincorporated - Palmdale,20,2375,2606,0,0,0,842
284,8/16/2020,Unincorporated - Palos Verdes Peninsula,3,483,729,0,0,0,621
285,8/16/2020,Unincorporated - Pearblossom/Llano,19,971,863,1,51,20,1956
286,8/16/2020,Unincorporated - Pellissier Village,23,3716,3663,0,0,0,619
287,8/16/2020,Unincorporated - Pomona,11,568,1227,1,52,86,1938
288,8/16/2020,Unincorporated - Quartz Hill,135,1046,999,10,77,58,12906
289,8/16/2020,Unincorporated - Rancho Dominguez,67,2518,2469,2,75,35,2661
290,8/16/2020,Unincorporated - Roosevelt,7,752,717,0,0,0,931
291,8/16/2020,Unincorporated - Rosewood,16,1244,1527,0,0,0,1286
292,8/16/2020,Unincorporated - Rosewood/East Gardena,14,1174,1074,0,0,0,1193
293,8/16/2020,Unincorporated - Rosewood/West Rancho Dominguez,79,2350,2423,0,0,0,3361
294,8/16/2020,Unincorporated - Rowland Heights,564,1105,1113,10,20,14,51022
295,8/16/2020,Unincorporated - San Jose Hills,610,3017,2983,8,40,39,20221
296,8/16/2020,Unincorporated - San Pasqual,9,442,468,0,0,0,2035
297,8/16/2020,Unincorporated - Sand Canyon,5,1623,4904,0,0,0,308
298,8/16/2020,Unincorporated - Santa Catalina Island,18,6742,9453,0,0,0,267
299,8/16/2020,Unincorporated - Santa Monica Mountains,96,516,608,1,5,2,18621
300,8/16/2020,Unincorporated - Saugus,21,13548,13671,0,0,0,155
301,8/16/2020,Unincorporated - Saugus/Canyon Country,1,281,538,0,0,0,356
302,8/16/2020,Unincorporated - South Antelope Valley,1,220,256,0,0,0,455
303,8/16/2020,Unincorporated - South El Monte,72,4011,3852,0,0,0,1795
304,8/16/2020,Unincorporated - South San Gabriel,159,1797,1721,5,57,40,8848
305,8/16/2020,Unincorporated - South Whittier,1446,2442,2361,26,44,48,59222
306,8/16/2020,Unincorporated - Southeast Antelope Valley,12,1536,1534,0,0,0,781
307,8/16/2020,Unincorporated - Stevenson Ranch,139,663,659,2,10,12,20966
308,8/16/2020,Unincorporated - Sun Village,129,2137,2235,1,17,11,6036
309,8/16/2020,Unincorporated - Sunrise Village,40,3086,3311,0,0,0,1296
310,8/16/2020,Unincorporated - Twin Lakes/Oat Mountain,10,603,623,1,60,78,1658
311,8/16/2020,Unincorporated - Val Verde,54,1632,1542,1,30,50,3309
312,8/16/2020,Unincorporated - Valencia,39,1270,2094,1,33,258,3072
313,8/16/2020,Unincorporated - Valinda,641,2743,2685,7,30,32,23371
314,8/16/2020,Unincorporated - View Park/Windsor Hills,125,1074,1128,3,26,10,11635
315,8/16/2020,Unincorporated - Walnut Park,590,3655,3608,10,62,69,16143
316,8/16/2020,Unincorporated - West Antelope Valley,4,265,284,0,0,0,1511
317,8/16/2020,Unincorporated - West Carson,328,1485,1327,27,122,73,22086
318,8/16/2020,Unincorporated - West LA,41,4307,4097,2,210,67,952
319,8/16/2020,Unincorporated - West Puente Valley,325,3305,3258,2,20,23,9835
320,8/16/2020,Unincorporated - West Rancho Dominguez,20,1472,1397,3,221,184,1359
321,8/16/2020,Unincorporated - West Whittier/Los Nietos,824,3060,2986,10,37,37,26925
322,8/16/2020,Unincorporated - Westfield/Academy Hills,4,308,402,0,0,0,1300
323,8/16/2020,Unincorporated - Westhills,9,1073,1596,0,0,0,839
324,8/16/2020,Unincorporated - White Fence Farms,37,1005,1061,0,0,0,3683
325,8/16/2020,Unincorporated - Whittier,53,1401,1313,1,26,11,3784
326,8/16/2020,Unincorporated - Willowbrook,1250,3580,3617,16,46,53,34913
327,8/16/2020,Unincorporated - Wiseburn,107,1775,1672,1,17,21,6027
