ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population
208,5/31/2020,Los Angeles - Watts,297,297,773,8,19,32,1842,4316,4672,42674
209,5/31/2020,Los Angeles - Wellington Square,21,21,393,0,0,0,295,6002,5751,4915
210,5/31/2020,Los Angeles - West Adams,215,215,762,16,58,63,2104,7615,7354,27630
211,5/31/2020,Los Angeles - West Hills,135,135,286,13,32,20,2335,5759,5465,40545
212,5/31/2020,Los Angeles - West Los Angeles,80,80,194,4,11,11,2758,7328,6772,37636
213,5/31/2020,Los Angeles - West Vernon,456,456,855,16,30,35,3134,5842,5878,53644
214,5/31/2020,Los Angeles - Westchester,93,93,171,8,16,13,3000,5814,5456,51603
215,5/31/2020,Los Angeles - Westlake,714,714,1268,72,121,141,3212,5412,5530,59355
216,5/31/2020,Los Angeles - Westwood,67,67,137,5,9,9,2570,4750,5224,54109
217,5/31/2020,Los Angeles - Wholesale District,675,675,1572,8,22,30,3073,8506,7550,36129
218,5/31/2020,Los Angeles - Wilmington,238,238,432,3,5,6,1857,3287,3402,56487
219,5/31/2020,Los Angeles - Wilshire Center,236,236,446,17,34,35,2261,4507,4230,50170
220,5/31/2020,Los Angeles - Winnetka,286,286,521,4,8,9,3298,6369,6091,51786
221,5/31/2020,Los Angeles - Woodland Hills,158,158,205,12,18,12,4584,6736,6163,68055
222,5/31/2020,Unincorporated - Acton,11,11,158,1,13,6,268,3362,3190,7971
223,5/31/2020,Unincorporated - Agua Dulce,8,8,282,0,0,0,148,3559,4015,4158
224,5/31/2020,Unincorporated - Altadena,146,146,332,5,11,10,1859,4262,4071,43620
225,5/31/2020,Unincorporated - Anaverde,1,1,119,0,0,0,40,2653,3087,1508
226,5/31/2020,Unincorporated - Angeles National Forest,1,1,69,0,0,0,26,2088,1998,1245
227,5/31/2020,Unincorporated - Arcadia,8,8,88,1,13,8,358,4486,4172,7981
228,5/31/2020,Unincorporated - Athens Village,27,27,638,2,41,38,315,6433,6733,4897
229,5/31/2020,Unincorporated - Athens-Westmont,225,225,531,8,19,22,2075,4889,4957,42442
230,5/31/2020,Unincorporated - Avocado Heights,25,25,361,1,15,14,162,2391,2327,6775
231,5/31/2020,Unincorporated - Azusa,62,62,393,1,6,10,502,3153,3090,15923
232,5/31/2020,Unincorporated - Bassett,83,83,558,2,14,13,507,3422,3367,14817
233,5/31/2020,Unincorporated - Bouquet Canyon,1,1,82,1,93,82,16,1491,1612,1073
234,5/31/2020,Unincorporated - Canyon Country,37,37,506,0,0,0,421,5448,5960,7728
235,5/31/2020,Unincorporated - Castaic,442,442,1494,1,4,5,935,3439,3495,27191
236,5/31/2020,Unincorporated - Covina,57,57,329,0,0,0,596,3544,3381,16819
237,5/31/2020,Unincorporated - Covina (Charter Oak),43,43,334,0,0,0,438,3332,3245,13144
238,5/31/2020,Unincorporated - Del Aire,16,16,344,1,23,25,219,4985,4608,4393
239,5/31/2020,Unincorporated - Del Rey,1,1,425,0,0,0,33,10377,16875,318
240,5/31/2020,Unincorporated - Del Sur,2,2,40,1,41,20,70,2899,3203,2415
241,5/31/2020,Unincorporated - Desert View Highlands,6,6,252,1,40,24,99,3971,3914,2493
242,5/31/2020,Unincorporated - Duarte,15,15,323,1,23,17,198,4472,4509,4428
243,5/31/2020,Unincorporated - East La Mirada,16,16,294,0,0,0,154,2910,2806,5292
244,5/31/2020,Unincorporated - East Los Angeles,968,968,791,37,30,36,5502,4392,4456,125269
245,5/31/2020,Unincorporated - East Pasadena,4,4,60,0,0,0,128,1999,2023,6403
246,5/31/2020,Unincorporated - East Rancho Dominguez,49,49,315,1,7,8,463,3025,3134,15308
247,5/31/2020,Unincorporated - East Whittier,9,9,174,0,0,0,144,2714,2677,5306
248,5/31/2020,Unincorporated - El Camino Village,33,33,383,2,23,16,355,4038,4070,8791
249,5/31/2020,Unincorporated - Elizabeth Lake,3,3,114,0,0,0,43,2589,2635,1661
250,5/31/2020,Unincorporated - Florence-Firestone,582,582,950,16,25,34,2557,3952,4040,64705
251,5/31/2020,Unincorporated - Glendora,2,2,456,0,0,0,22,3333,4046,660
252,5/31/2020,Unincorporated - Hacienda Heights,139,139,238,2,4,2,1289,2305,2273,55926
253,5/31/2020,Unincorporated - Hawthorne,6,6,219,0,0,0,83,3302,3173,2514
254,5/31/2020,Unincorporated - Hi Vista,1,1,202,0,0,0,17,1548,1901,1098
255,5/31/2020,Unincorporated - Kagel/Lopez Canyons,7,7,580,1,71,113,101,7153,7068,1412
256,5/31/2020,Unincorporated - La Crescenta-Montrose,29,29,155,1,5,3,761,3843,3937,19801
257,5/31/2020,Unincorporated - La Rambla,10,10,439,0,0,0,378,18217,16138,2075
258,5/31/2020,Unincorporated - La Verne,5,5,253,0,0,0,61,2990,2886,2040
259,5/31/2020,Unincorporated - Ladera Heights,20,20,181,1,14,7,641,9065,7634,7071
260,5/31/2020,Unincorporated - Lake Hughes,1,1,192,0,0,0,25,3743,3810,668
261,5/31/2020,Unincorporated - Lake Los Angeles,29,29,241,2,15,25,308,2370,2405,12994
262,5/31/2020,Unincorporated - Lake Manor,4,4,208,0,0,0,86,5234,5086,1643
263,5/31/2020,Unincorporated - Lennox,97,97,432,0,0,0,762,3380,3401,22542
264,5/31/2020,Unincorporated - Leona Valley,2,2,176,0,0,0,49,2798,2757,1751
265,5/31/2020,Unincorporated - Littlerock,14,14,334,0,0,0,146,3631,3548,4021
266,5/31/2020,Unincorporated - Littlerock/Juniper Hills,2,2,207,0,0,0,49,3778,3259,1297
